LicenseID,FeeExemptModifierCode
1091395,RETI
1091427,RETI
1091472,RETI
1091513,RETI
1091540,RETI
1091560,RETI
1091572,VOL
1091580,RETI
1091586,RETI
1091616,RETI
1091634,RETI
1091666,RETI
1091683,RETI
1091687,RETI
1091767,RETI
1091798,RETI
1091826,VOL
1091843,VOL
1091862,VOL
1091901,VOL
1091994,VOL
1092030,DIS
1092032,VOL
1092120,RETI
1092121,RETI
1092130,RETI
1092134,RETI
1092159,VOL
1092199,RETI
1092204,RETI
1092251,VOL
1092259,VOL
1092287,VOL
1092355,VOL
1092356,RETI
1092378,RETI
1092414,MIL
1092436,RETI
1092452,RETI
1092473,DIS
1092501,RETI
1092512,RETI
1092602,RETI
1092657,RETI
1092685,RETI
1092731,RETI
1092819,RETI
1092962,VOL
1093026,RETI
1093027,RETI
1093040,RETI
1093095,VOL
1093103,VOL
1093147,VOL
1093220,VOL
1093226,RETI
1093240,RETI
1093268,RETI
1093306,RETI
1093439,RETI
1093464,RETI
1093522,RETI
1093598,RETI
1093617,RETI
1093675,RETI
1093715,VOL
1093740,RETI
1093745,RETI
1093819,RETI
1093857,RETI
1093901,RETI
1093946,VOL
1094038,RETI
1094118,RETI
1094135,RETI
1094182,RETI
1094205,DIS
1094230,RETI
1094385,RETI
1094399,MIL
1094403,RETI
1094472,MIL
1094493,RETI
1094519,RETI
1094591,RETI
1094672,RETI
1094803,RETI
1094850,RETI
1094858,RETI
1094872,VOL
1095005,RETI
1095049,RETI
1095055,VOL
1095122,VOL
1095220,RETI
1095287,RETI
1095302,RETI
1095314,RETI
1095528,RETI
1095542,RETI
1095593,RETI
1095651,RETI
1095719,MIL
1095743,VOL
1095784,RETI
1095817,RETI
1095857,RETI
1095874,VOL
1095932,RETI
1095950,RETI
1095992,RETI
1096070,RETI
1096187,RETI
1096351,RETI
1096410,RETI
1096443,VOL
1096454,RETI
1096478,RETI
1096532,RETI
1096565,RETI
1096622,RETI
1096647,RETI
1096657,RETI
1096775,RETI
1096804,RETI
1096828,RETI
1096962,RETI
1097123,RETI
1097222,RETI
1097267,RETI
1097496,RETI
1097510,RETI
1097514,RETI
1097525,RETI
1097546,RETI
1097557,RETI
1097563,RETI
1097566,RETI
1097667,RETI
1097687,RETI
1097870,VOL
1097877,RETI
1097901,RETI
1097907,MIL
1097924,RETI
1097939,RETI
1097956,RETI
1097994,RETI
1098008,RETI
1098023,RETI
1098049,RETI
1098132,RETI
1098184,RETI
1098192,RETI
1098222,RETI
1098257,RETI
1098265,RETI
1098268,RETI
1098280,RETI
1098308,VOL
1098325,RETI
1098362,RETI
1098502,RETI
1098576,RETI
1098687,RETI
1098729,RETI
1098922,RETI
1098946,RETI
1099050,RETI
1099103,RETI
1099196,RETI
1099258,RETI
1099315,RETI
1099577,RETI
1099592,RETI
1099611,RETI
1099737,RETI
1099742,RETI
1099806,RETI
1099853,RETI
1099866,RETI
1099912,RETI
1130076,RETI
1130115,RETI
1130126,VOL
1130179,RETI
1130306,VOL
1130327,MIL
1130407,RETI
1130413,VOL
1130491,RETI
1130501,RETI
1130519,RETI
1130573,RETI
1130664,RETI
1130754,VOL
1130757,VOL
1130779,RETI
1130781,RETI
1130819,RETI
1130930,RETI
1131140,RETI
1131182,MIL
1131184,RETI
1131197,RETI
1131373,RETI
1131408,RETI
1131476,RETI
1131553,RETI
1131658,RETI
1131674,RETI
1131687,RETI
1131705,RETI
1131741,RETI
1131798,VOL
1131872,RETI
1131897,RETI
1131907,RETI
1131974,VOL
1132013,RETI
1132056,RETI
1132066,RETI
1132272,RETI
1132442,RETI
1132453,RETI
1132466,RETI
1132506,RETI
1132510,RETI
1132563,RETI
1132597,RETI
1132627,RETI
1132644,RETI
1132667,RETI
1132674,RETI
1132681,MIL
1132715,RETI
1132747,RETI
1132770,VOL
1132788,RETI
1132790,RETI
1132842,RETI
1132843,RETI
1132866,RETI
1132876,RETI
1132886,RETI
1132921,RETI
1132947,RETI
1132995,RETI
1133026,VOL
1133036,RETI
1133047,VOL
1133054,RETI
1133075,RETI
1133087,VOL
1133138,RETI
1133141,RETI
1133146,RETI
1133193,RETI
1133198,RETI
1133216,RETI
1133227,RETI
1133228,VOL
1133249,VOL
1133265,MIL
1133266,RETI
1133278,VOL
1133292,RETI
1133321,RETI
1133326,RETI
1133335,VOL
1133377,RETI
1133382,RETI
1133394,RETI
1133425,RETI
1133426,RETI
1133457,RETI
1133465,VOL
1133549,RETI
1133575,VOL
1133590,VOL
1133616,RETI
1133675,VOL
1133843,RETI
1133858,RETI
1133876,RETI
